store_id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product Material;Product Collection Title;Product Collection Handle;Product Type;Column1;Product Discountable;Product Profile Name;Product Profile Type;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Manage Inventory;Price USD;Option 1 Name;Option 1 Value;Option 2 Name;Option 2 Value;Sales Channel 1 Name
1;"Adaptor F/ Cpvc 1-1/2"" Ab";"Adaptor F/ Cpvc 1-1/2"" Ab";;"Adaptor F/ Cpvc 1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;2948;;10;TRUE;18;;;;;
1;"Adaptor F/ Cpvc 1-1/4"" Ab";"Adaptor F/ Cpvc 1-1/4"" Ab";;"Adaptor F/ Cpvc 1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;3076;;10;TRUE;17;;;;;
1;"Adaptor F/ Cpvc 2"" Ab";"Adaptor F/ Cpvc 2"" Ab";;"Adaptor F/ Cpvc 2"" Ab";published;;;;;;;;;;;;;FALSE;;;;16891;;10;TRUE;37;;;;;
1;"Adaptor F/ Cpvc 3/4"" Ab";"Adaptor F/ Cpvc 3/4"" Ab";;"Adaptor F/ Cpvc 3/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;9709;;10;TRUE;7;;;;;
1;"Adaptor F/ Cpvc 3/4""X1/2"" Ab";"Adaptor F/ Cpvc 3/4""X1/2"" Ab";;"Adaptor F/ Cpvc 3/4""X1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;16144;;10;TRUE;47.25;;;;;
1;"Adaptor F/ Cpvc/Brass 1"" Ab";"Adaptor F/ Cpvc/Brass 1"" Ab";;"Adaptor F/ Cpvc/Brass 1"" Ab";published;;;;;;;;;;;;;FALSE;;;;5136;;10;TRUE;66;;;;;
1;"Adaptor F/ Cpvc/Brass 1""X1/2"" Ab";"Adaptor F/ Cpvc/Brass 1""X1/2"" Ab";;"Adaptor F/ Cpvc/Brass 1""X1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;5151;;10;TRUE;28.35;;;;;
1;"Adaptor F/ Cpvc/Brass 1/2"" Ab";"Adaptor F/ Cpvc/Brass 1/2"" Ab";;"Adaptor F/ Cpvc/Brass 1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;10698;;10;TRUE;37;;;;;
1;"Adaptor F/ Cpvc/Brass 1-1/2"" Ab";"Adaptor F/ Cpvc/Brass 1-1/2"" Ab";;"Adaptor F/ Cpvc/Brass 1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;5144;;10;TRUE;117;;;;;
1;"Adaptor F/ Cpvc/Brass 1-1/4"" Ab";"Adaptor F/ Cpvc/Brass 1-1/4"" Ab";;"Adaptor F/ Cpvc/Brass 1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;5138;;10;TRUE;68;;;;;
1;"Adaptor F/ Cpvc/Brass 2"" Ab";"Adaptor F/ Cpvc/Brass 2"" Ab";;"Adaptor F/ Cpvc/Brass 2"" Ab";published;;;;;;;;;;;;;FALSE;;;;5147;;10;TRUE;220;;;;;
1;"Adaptor F/ Cpvc/Brass 3/4"" Ab";"Adaptor F/ Cpvc/Brass 3/4"" Ab";;"Adaptor F/ Cpvc/Brass 3/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;15451;;10;TRUE;47;;;;;
1;"Adaptor F/ Cpvc/Brass 3/4""X1/2"" Ab";"Adaptor F/ Cpvc/Brass 3/4""X1/2"" Ab";;"Adaptor F/ Cpvc/Brass 3/4""X1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;5150;;10;TRUE;30;;;;;
1;"Adaptor F/ P Comp 1-1/2""X1-1/4"" Ab";"Adaptor F/ P Comp 1-1/2""X1-1/4"" Ab";;"Adaptor F/ P Comp 1-1/2""X1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;33213;;10;TRUE;28;;;;;
1;"Adaptor F/ P Comp 1-1/4""X3/4"" Ab";"Adaptor F/ P Comp 1-1/4""X3/4"" Ab";;"Adaptor F/ P Comp 1-1/4""X3/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;26781;;10;TRUE;21;;;;;
1;Adaptor F/ P Comp 20Mm Ab;Adaptor F/ P Comp 20Mm Ab;;Adaptor F/ P Comp 20Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12969;;10;TRUE;10.5;;;;;
1;Adaptor F/ P Comp 25Mm Ab;Adaptor F/ P Comp 25Mm Ab;;Adaptor F/ P Comp 25Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12968;;10;TRUE;22;;;;;
1;Adaptor F/ P Comp 25Mmx20Mm Ab;Adaptor F/ P Comp 25Mmx20Mm Ab;;Adaptor F/ P Comp 25Mmx20Mm Ab;published;;;;;;;;;;;;;FALSE;;;;8967;;10;TRUE;12;;;;;
1;Adaptor F/ P Comp 32Mm Ab;Adaptor F/ P Comp 32Mm Ab;;Adaptor F/ P Comp 32Mm Ab;published;;;;;;;;;;;;;FALSE;;;;8983;;10;TRUE;25;;;;;
1;Adaptor F/ P Comp 40Mm Ab;Adaptor F/ P Comp 40Mm Ab;;Adaptor F/ P Comp 40Mm Ab;published;;;;;;;;;;;;;FALSE;;;;14232;;10;TRUE;56;;;;;
1;Adaptor F/ P Comp 50Mm Ab;Adaptor F/ P Comp 50Mm Ab;;Adaptor F/ P Comp 50Mm Ab;published;;;;;;;;;;;;;FALSE;;;;8353;;10;TRUE;63;;;;;
1;Adaptor F/ Pvc 50Mm Ab;Adaptor F/ Pvc 50Mm Ab;;Adaptor F/ Pvc 50Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12169;;10;TRUE;63;;;;;
1;"Adaptor F/ Pvc 50Mmx1-1/2"" Ab";"Adaptor F/ Pvc 50Mmx1-1/2"" Ab";;"Adaptor F/ Pvc 50Mmx1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;12975;;10;TRUE;45.15;;;;;
1;Adaptor Female Pvc 40Mm Ab;Adaptor Female Pvc 40Mm Ab;;Adaptor Female Pvc 40Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12974;;10;TRUE;30;;;;;
1;"Adaptor Female Pvc Blue 3/4"" X 1/2""";"Adaptor Female Pvc Blue 3/4"" X 1/2""";;"Adaptor Female Pvc Blue 3/4"" X 1/2""";published;;;;;;;;;;;;;FALSE;;;;5125;;10;TRUE;2;;;;;
1;"Adaptor M/ Cpvc 1"" Ab";"Adaptor M/ Cpvc 1"" Ab";;"Adaptor M/ Cpvc 1"" Ab";published;;;;;;;;;;;;;FALSE;;;;13339;;10;TRUE;7;;;;;
1;"Adaptor M/ Cpvc 1/2"" Ab";"Adaptor M/ Cpvc 1/2"" Ab";;"Adaptor M/ Cpvc 1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;10716;;10;TRUE;4;;;;;
1;"Adaptor M/ Cpvc 1-1/2"" Ab";"Adaptor M/ Cpvc 1-1/2"" Ab";;"Adaptor M/ Cpvc 1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;10696;;10;TRUE;17;;;;;
1;"Adaptor M/ Cpvc 1-1/4"" Ab";"Adaptor M/ Cpvc 1-1/4"" Ab";;"Adaptor M/ Cpvc 1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;13340;;10;TRUE;16;;;;;
1;"Adaptor M/ Cpvc 2"" Ab";"Adaptor M/ Cpvc 2"" Ab";;"Adaptor M/ Cpvc 2"" Ab";published;;;;;;;;;;;;;FALSE;;;;10697;;10;TRUE;45;;;;;
1;"Adaptor M/ Cpvc 3/4"" Ab";"Adaptor M/ Cpvc 3/4"" Ab";;"Adaptor M/ Cpvc 3/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;20073;;10;TRUE;5.25;;;;;
1;"Adaptor M/ Cpvc 3/4""X1/2"" Ab";"Adaptor M/ Cpvc 3/4""X1/2"" Ab";;"Adaptor M/ Cpvc 3/4""X1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;2950;;10;TRUE;5;;;;;
1;"Adaptor M/ Cpvc/Brass 1"" Ab";"Adaptor M/ Cpvc/Brass 1"" Ab";;"Adaptor M/ Cpvc/Brass 1"" Ab";published;;;;;;;;;;;;;FALSE;;;;3130;;10;TRUE;46.2;;;;;
1;"Adaptor M/ Cpvc/Brass 1/2"" Ab";"Adaptor M/ Cpvc/Brass 1/2"" Ab";;"Adaptor M/ Cpvc/Brass 1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;3539;;10;TRUE;37;;;;;
1;"Adaptor M/ Cpvc/Brass 1-1/2"" Ab";"Adaptor M/ Cpvc/Brass 1-1/2"" Ab";;"Adaptor M/ Cpvc/Brass 1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;3540;;10;TRUE;135.45;;;;;
1;"Adaptor M/ Cpvc/Brass 1-1/4"" Ab";"Adaptor M/ Cpvc/Brass 1-1/4"" Ab";;"Adaptor M/ Cpvc/Brass 1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;3099;;10;TRUE;135.45;;;;;
1;"Adaptor M/ Cpvc/Brass 2"" Ab";"Adaptor M/ Cpvc/Brass 2"" Ab";;"Adaptor M/ Cpvc/Brass 2"" Ab";published;;;;;;;;;;;;;FALSE;;;;3541;;10;TRUE;265.65;;;;;
1;"Adaptor M/ Cpvc/Brass 3/4"" Ab";"Adaptor M/ Cpvc/Brass 3/4"" Ab";;"Adaptor M/ Cpvc/Brass 3/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;3538;;10;TRUE;39;;;;;
1;"Adaptor M/ Cpvc/Brass 3/4""X1/2"" Ab";"Adaptor M/ Cpvc/Brass 3/4""X1/2"" Ab";;"Adaptor M/ Cpvc/Brass 3/4""X1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;10728;;10;TRUE;32;;;;;
1;"Adaptor M/ P Comp 1-1/2""X1"" Ab";"Adaptor M/ P Comp 1-1/2""X1"" Ab";;"Adaptor M/ P Comp 1-1/2""X1"" Ab";published;;;;;;;;;;;;;FALSE;;;;8976;;10;TRUE;36;;;;;
1;Adaptor M/ P Comp 110Mm Ab K-Mining;Adaptor M/ P Comp 110Mm Ab K-Mining;;Adaptor M/ P Comp 110Mm Ab K-Mining;published;;;;;;;;;;;;;FALSE;;;;31896;;10;TRUE;329.7;;;;;
1;Adaptor M/ P Comp 20Mm Ab;Adaptor M/ P Comp 20Mm Ab;;Adaptor M/ P Comp 20Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12865;;10;TRUE;13;;;;;
1;Adaptor M/ P Comp 25 Mm Ab;Adaptor M/ P Comp 25 Mm Ab;;Adaptor M/ P Comp 25 Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12863;;10;TRUE;14;;;;;
1;Adaptor M/ P Comp 25Mmx20Mm Ab;Adaptor M/ P Comp 25Mmx20Mm Ab;;Adaptor M/ P Comp 25Mmx20Mm Ab;published;;;;;;;;;;;;;FALSE;;;;22795;;10;TRUE;17;;;;;
1;"Adaptor M/ P Comp 32Mmx1"" Ab";"Adaptor M/ P Comp 32Mmx1"" Ab";;"Adaptor M/ P Comp 32Mmx1"" Ab";published;;;;;;;;;;;;;FALSE;;;;16427;;10;TRUE;23;;;;;
1;Adaptor M/ P Comp 32Mmx20Mm Ab;Adaptor M/ P Comp 32Mmx20Mm Ab;;Adaptor M/ P Comp 32Mmx20Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12967;;10;TRUE;16;;;;;
1;Adaptor M/ P Comp 32Mmx32Mm Ab;Adaptor M/ P Comp 32Mmx32Mm Ab;;Adaptor M/ P Comp 32Mmx32Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12862;;10;TRUE;25;;;;;
1;Adaptor M/ P Comp 40Mm Ab;Adaptor M/ P Comp 40Mm Ab;;Adaptor M/ P Comp 40Mm Ab;published;;;;;;;;;;;;;FALSE;;;;12861;;10;TRUE;37;;;;;
1;Adaptor M/ P Comp 50Mm Ab;Adaptor M/ P Comp 50Mm Ab;;Adaptor M/ P Comp 50Mm Ab;published;;;;;;;;;;;;;FALSE;;;;8990;;10;TRUE;59;;;;;
1;Adaptor M/ P Comp 50Mmx32Mm Ab;Adaptor M/ P Comp 50Mmx32Mm Ab;;Adaptor M/ P Comp 50Mmx32Mm Ab;published;;;;;;;;;;;;;FALSE;;;;21223;;10;TRUE;42;;;;;
1;Adaptor M/ P Compession 50X40 Ab;Adaptor M/ P Compession 50X40 Ab;;Adaptor M/ P Compession 50X40 Ab;published;;;;;;;;;;;;;FALSE;;;;5899;;10;TRUE;58;;;;;
1;Adaptor M/ Poly Comp 50Mmx20Mm;Adaptor M/ Poly Comp 50Mmx20Mm;;Adaptor M/ Poly Comp 50Mmx20Mm;published;;;;;;;;;;;;;FALSE;;;;3296;;10;TRUE;55;;;;;
1;Adaptor M/ Poly Comp 50Mmx25Mm Ab;Adaptor M/ Poly Comp 50Mmx25Mm Ab;;Adaptor M/ Poly Comp 50Mmx25Mm Ab;published;;;;;;;;;;;;;FALSE;;;;3295;;10;TRUE;65;;;;;
1;"Adaptor M/ Pvc 50Mm X 2""";"Adaptor M/ Pvc 50Mm X 2""";;"Adaptor M/ Pvc 50Mm X 2""";published;;;;;;;;;;;;;FALSE;;;;20095;;10;TRUE;11.55;;;;;
1;"Adaptor M/ Pvc 50Mmx1-1/2"" Ab";"Adaptor M/ Pvc 50Mmx1-1/2"" Ab";;"Adaptor M/ Pvc 50Mmx1-1/2"" Ab";published;;;;;;;;;;;;;FALSE;;;;15422;;10;TRUE;11.55;;;;;
1;Adaptor Male Pvc 40Mm Ab;Adaptor Male Pvc 40Mm Ab;;Adaptor Male Pvc 40Mm Ab;published;;;;;;;;;;;;;FALSE;;;;3277;;10;TRUE;14.7;;;;;
1;"Adaptor Male Pvc 40Mmx1-1/4"" Ab";"Adaptor Male Pvc 40Mmx1-1/4"" Ab";;"Adaptor Male Pvc 40Mmx1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;5024;;10;TRUE;25;;;;;
1;"Adaptor Male Pvc 50Mmx1-1/4"" Ab";"Adaptor Male Pvc 50Mmx1-1/4"" Ab";;"Adaptor Male Pvc 50Mmx1-1/4"" Ab";published;;;;;;;;;;;;;FALSE;;;;12168;;10;TRUE;13.5;;;;;
1;"Adaptor Male Pvc Grey 50Mm X 1-1/2""";"Adaptor Male Pvc Grey 50Mm X 1-1/2""";;"Adaptor Male Pvc Grey 50Mm X 1-1/2""";published;;;;;;;;;;;;;FALSE;;;;13812;;10;TRUE;10;;;;;
1;Adaptor P Comp M/ 32Mmx40Mm Ab;Adaptor P Comp M/ 32Mmx40Mm Ab;;Adaptor P Comp M/ 32Mmx40Mm Ab;published;;;;;;;;;;;;;FALSE;;;;27702;;10;TRUE;32;;;;;
1;"Adaptor Reducing 3/4""Fx1/2""M 15Mm Ab";"Adaptor Reducing 3/4""Fx1/2""M 15Mm Ab";;"Adaptor Reducing 3/4""Fx1/2""M 15Mm Ab";published;;;;;;;;;;;;;FALSE;;;;12785;;10;TRUE;114;;;;;
1;Addis Banister Brush 249Cf6;Addis Banister Brush 249Cf6;;Addis Banister Brush 249Cf6;published;;;;;;;;;;;;;FALSE;;;;34221;;10;TRUE;0;;;;;
1;Addis Bin All Purpose + Base + Lid 91263;Addis Bin All Purpose + Base + Lid 91263;;Addis Bin All Purpose + Base + Lid 91263;published;;;;;;;;;;;;;FALSE;;;;31076;;10;TRUE;562;;;;;
1;Addis Bin All Purpose Diy 91260Bk;Addis Bin All Purpose Diy 91260Bk;;Addis Bin All Purpose Diy 91260Bk;published;;;;;;;;;;;;;FALSE;;;;31075;;10;TRUE;360;;;;;
1;Addis Bin Bigga 60L + Base + Surr & Lid 9119St;Addis Bin Bigga 60L + Base + Surr & Lid 9119St;;Addis Bin Bigga 60L + Base + Surr & Lid 9119St;published;;;;;;;;;;;;;FALSE;;;;31074;;10;TRUE;362;;;;;
1;Addis Bin Flip Top 12L With Lid 9115St;Addis Bin Flip Top 12L With Lid 9115St;;Addis Bin Flip Top 12L With Lid 9115St;published;;;;;;;;;;;;;FALSE;;;;31073;;10;TRUE;118;;;;;
1;Addis Bin Flip Top 32L + Base + Lid 91074Bk;Addis Bin Flip Top 32L + Base + Lid 91074Bk;;Addis Bin Flip Top 32L + Base + Lid 91074Bk;published;;;;;;;;;;;;;FALSE;;;;31070;;10;TRUE;245;;;;;
1;Addis Bin Flip Top 46L + Base + Lid 91098Bk;Addis Bin Flip Top 46L + Base + Lid 91098Bk;;Addis Bin Flip Top 46L + Base + Lid 91098Bk;published;;;;;;;;;;;;;FALSE;;;;31071;;10;TRUE;325;;;;;
1;Addis Bin Mini Flip Flap + Base + S/L 9113St;Addis Bin Mini Flip Flap + Base + S/L 9113St;;Addis Bin Mini Flip Flap + Base + S/L 9113St;published;;;;;;;;;;;;;FALSE;;;;31072;;10;TRUE;80;;;;;
1;Addis Bin Pedal 12L + Base + Lid 9128St;Addis Bin Pedal 12L + Base + Lid 9128St;;Addis Bin Pedal 12L + Base + Lid 9128St;published;;;;;;;;;;;;;FALSE;;;;31077;;10;TRUE;157;;;;;
1;Addis Bin Pedal 20L + Base + Lid 9129St;Addis Bin Pedal 20L + Base + Lid 9129St;;Addis Bin Pedal 20L + Base + Lid 9129St;published;;;;;;;;;;;;;FALSE;;;;31078;;10;TRUE;310;;;;;
